#Reads:	196031
#Bases:	809296219
#Max:	58041
#Min:	9
#Avg:	4128.4
#Median:	3950
#Mode:	3630
#Std_Dev:	1663.6
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
6980	114	0.058%	11260	5.744%	796293	0.098%	87218007	10.777%
6990	125	0.064%	11146	5.686%	874332	0.108%	86421714	10.679%
7000	139	0.071%	11021	5.622%	973543	0.120%	85547382	10.571%
7010	126	0.064%	10882	5.551%	883838	0.109%	84573839	10.450%
7020	103	0.053%	10756	5.487%	723524	0.089%	83690001	10.341%
7030	117	0.060%	10653	5.434%	823005	0.102%	82966477	10.252%
7040	111	0.057%	10536	5.375%	781860	0.097%	82143472	10.150%
7050	119	0.061%	10425	5.318%	839470	0.104%	81361612	10.053%
7060	121	0.062%	10306	5.257%	854814	0.106%	80522142	9.950%
7070	127	0.065%	10185	5.196%	898466	0.111%	79667328	9.844%
7080	113	0.058%	10058	5.131%	800561	0.099%	78768862	9.733%
7090	99	0.051%	9945	5.073%	702350	0.087%	77968301	9.634%
7100	121	0.062%	9846	5.023%	859605	0.106%	77265951	9.547%
7110	119	0.061%	9725	4.961%	846646	0.105%	76406346	9.441%
7120	107	0.055%	9606	4.900%	762329	0.094%	75559700	9.336%
7130	114	0.058%	9499	4.846%	813379	0.101%	74797371	9.242%
7140	112	0.057%	9385	4.788%	800174	0.099%	73983992	9.142%
7150	107	0.055%	9273	4.730%	765491	0.095%	73183818	9.043%
7160	122	0.062%	9166	4.676%	873969	0.108%	72418327	8.948%
7170	116	0.059%	9044	4.614%	832192	0.103%	71544358	8.840%
7180	84	0.043%	8928	4.554%	603521	0.075%	70712166	8.737%
7190	93	0.047%	8844	4.512%	669087	0.083%	70108645	8.663%
7200	79	0.040%	8751	4.464%	569160	0.070%	69439558	8.580%
7210	105	0.054%	8672	4.424%	757531	0.094%	68870398	8.510%
7220	116	0.059%	8567	4.370%	837985	0.104%	68112867	8.416%
7230	105	0.054%	8451	4.311%	759553	0.094%	67274882	8.313%
7240	81	0.041%	8346	4.257%	586813	0.073%	66515329	8.219%
7250	100	0.051%	8265	4.216%	725417	0.090%	65928516	8.146%
7260	89	0.045%	8165	4.165%	646524	0.080%	65203099	8.057%
7270	113	0.058%	8076	4.120%	821994	0.102%	64556575	7.977%
7280	102	0.052%	7963	4.062%	743027	0.092%	63734581	7.875%
7290	92	0.047%	7861	4.010%	671159	0.083%	62991554	7.783%
7300	86	0.044%	7769	3.963%	628239	0.078%	62320395	7.701%
7310	100	0.051%	7683	3.919%	731460	0.090%	61692156	7.623%
7320	103	0.053%	7583	3.868%	754430	0.093%	60960696	7.533%
7330	84	0.043%	7480	3.816%	616076	0.076%	60206266	7.439%
7340	90	0.046%	7396	3.773%	661022	0.082%	59590190	7.363%
7350	92	0.047%	7306	3.727%	676609	0.084%	58929168	7.282%
7360	90	0.046%	7214	3.680%	662775	0.082%	58252559	7.198%
7370	85	0.043%	7124	3.634%	626808	0.077%	57589784	7.116%
